cosmo,Notes,$\Omega_b$,$\Omega_c$,$h$,$A_s$,$n_s$,$\alpha_s$,$N_{ur}$,$N_{ncdm}$,$\Omega_{ncdm}$,$w_0$,$w_a$,$\sigma_8$,"$\sigma_{8,cb}$"
c000,"BaselineLCDM,Planck2018base_plikHM_TTTEEE_lowl_lowE_lensingmean",0.02237,0.12,0.6736,2.083e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.807952,0.811355
c001,"WMAP9+ACT+SPTLCDM,Calabrese++2017",0.02242,0.1134,0.703,2.0376e-09,0.9638,0.0,2.0328,1,0.0006442,-1.0,0.0,0.776779,0.780222
c002,"wCDMwiththawingmodelw0=-0.7,wa=-0.5",0.02237,0.12,0.6278,2.314e-09,0.9649,0.0,2.0328,1,0.0006442,-0.7,-0.5,0.808189,0.811577
c003,"Neff=3.70,frombase_nnu_plikHM_TT_lowl_lowE_Riess18_post_BAO",0.0226,0.1291,0.716,2.2438e-09,0.9876,0.0,2.6868,1,0.0006442,-1.0,0.0,0.85519,0.858583
c004,"Lowsigma8_matter=0.75,otherwiseBaselineLCDM",0.02237,0.12,0.6736,1.7949e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.749999,0.753159
c009,BaselineLCDMwithmasslessneutrinosmatchingomega_cb&sigma8_cb,0.02237,0.12,0.6736,2.0417e-09,0.9649,0.0,3.046,0,0.0,-1.0,0.0,0.811362,0.811362
c010,AbacusCosmosPlanckLCDMcosmology,0.02222,0.1199,0.6726,2.1e-09,0.9652,0.0,3.04,0,0.0,-1.0,0.0,0.82363,0.82363
c012,"EuclidFlagship1LCDM,sigma8_m=0.8279",0.022,0.1212,0.67,2.1e-09,0.96,0.0,3.046,0,0.0,-1.0,0.0,0.827899,0.827899
c013,"EuclidFlagship2LCDM,sigma8_m=0.813715,sigma8_cb=0.817135",0.022,0.1206,0.67,2.1e-09,0.96,0.0,2.0328,1,0.0006442,-1.0,0.0,0.813715,0.817135
c014,"OuterRimLCDM,sigma8=0.80",0.02258,0.1109,0.71,2.1591e-09,0.963,0.0,3.046,0,0.0,-1.0,0.0,0.8,0.8
c015,"DarkSkyLCDM,sigma8=0.835",0.02215,0.1175,0.688,2.1852e-09,0.9688,0.0,3.046,0,0.0,-1.0,0.0,0.835005,0.835005
c016,"HorizonRun4LCDM,sigma8=0.7937",0.02281,0.112,0.72,2.0996e-09,0.96,0.0,3.046,0,0.0,-1.0,0.0,0.793693,0.793693
c017,"IllustrisTNGLCDM,sigma8=0.8159",0.0223,0.1194,0.6774,2.0671e-09,0.9667,0.0,3.046,0,0.0,-1.0,0.0,0.815903,0.815903
